dataset,event,date,latitude,longitude,actor_tax,event_tax,prec_tax,event_name
sigact,1,01-01-2009,33.56105042,69.87404633,Taliban,2,1,Violence ged
sigact,2,01-01-2010,33.5652771,69.88087463,Taliban,1,1,Violence ged
sigact,3,01-01-2008,33.52510071,69.93118286,Taliban,2,1,Violence ged
sigact,4,01-01-2008,34.72766876,70.89572144,Taliban,1,1,Violence ged
ged,1,01-01-2008,32.465816,64.737566,Government of Afghanistan,1,3,Violence sig
ged,2,01-01-2009,33.383334,69.883334,Government of Afghanistan,1,4,Violence sig
ged,3,01-01-2009,33,65,Taleban,1,6,Violence sig
gtd,4,01-01-2009,37.008333,68.444722,Taliban,3,1,Violence gtd
gtd,5,01-01-2008,35.640348,63.309294,Taliban,2,3,Violence gtd
sigact,5,02-01-2008,31.64542198,65.0163269,Taliban,2,1,Violence ged
sigact,6,02-01-2008,33.52643585,69.93195343,Taliban,2,1,Violence ged
sigact,7,02-01-2008,31.9009304,64.75649261,Taliban,1,1,Violence ged
sigact,8,02-01-2009,35.33551025,71.53929138,ISAF,3,1,Violence ged
ged,4,02-01-2010,31,65.75,Taleban,1,4,Violence sig
ged,5,02-01-2009,33.383334,69.883334,Taleban,1,4,Violence sig
gtd,7,02-01-2009,33.333847,69.937167,Taliban,3,4,Violence gtd
gtd,8,02-01-2009,33.458527,69.995087,Unknown,3,1,Violence gtd
sigact,9,03-01-2008,31.20702934,62.40269089,Taliban,2,1,Violence ged
sigact,10,03-01-2008,32.25579071,64.7930069,Taliban,1,1,Violence ged
sigact,11,04-01-2008,34.81676865,69.65068054,Taliban,1,1,Violence ged
sigact,12,04-01-2008,31.81949043,64.5690155,Taliban,2,1,Violence ged
sigact,13,04-01-2009,35.12126923,70.93256378,Taliban,1,1,Violence ged
sigact,14,04-01-2009,32.6965065,65.88038635,Taliban,2,1,Violence ged
sigact,15,04-01-2009,31.49928093,65.55593872,ISAF,3,1,Violence ged
sigact,16,04-01-2008,31.11904907,64.18509674,ISAF,3,1,Violence ged
sigact,17,04-01-2008,31.52420044,65.30432892,ISAF,3,1,Violence ged
gtd,14,04-01-2008,33.336728,69.923834,Unknown,3,1,Violence gtd
sigact,18,05-01-2008,35.17124939,71.41242218,Taliban,1,1,Violence ged
gtd,16,06-01-2008,35.011389,69.331667,Unknown,2,2,Violence gtd
sigact,19,07-01-2008,31.00460815,66.39780426,Taliban,2,1,Violence ged
sigact,20,07-01-2008,34.10984802,70.53524017,Taliban,2,1,Violence ged
gtd,17,07-01-2008,34.104778,70.531937,Unknown,3,1,Violence gtd
gtd,18,07-01-2008,31.008056,66.398056,Unknown,3,1,Violence gtd
gtd,20,07-01-2010,34.888064,71.180737,Unknown,3,1,Violence gtd
gtd,21,07-01-2010,31.137937,66.261374,Unknown,3,2,Violence gtd
sigact,21,07-01-2010,34.96397018,69.57617188,Taliban,2,1,Violence ged
sigact,22,07-01-2010,31.12520027,64.20301819,Taliban,1,1,Violence ged
sigact,23,07-01-2010,35.02212906,70.40413666,Taliban,1,1,Violence ged
sigact,24,07-01-2010,32.25115967,64.78930664,Taliban,2,1,Violence ged
sigact,25,07-01-2010,32.11083984,66.91257477,Taliban,2,1,Violence ged
gtd,22,07-01-2010,34.533333,69.166667,Unknown,3,4,Violence gtd
sigact,26,07-01-2010,31.53576088,65.55458832,Taliban,1,1,Violence ged
sigact,27,07-01-2010,31.8991394,64.75540161,Taliban,1,1,Violence ged
sigact,28,07-01-2010,32.41466904,64.48438263,ISAF,3,1,Violence ged
sigact,29,07-01-2010,32.66978073,65.46272278,Taliban,1,1,Violence ged
sigact,30,07-01-2010,33.90665817,68.66999817,Taliban,1,1,Violence ged
sigact,31,07-01-2010,32.48529816,62.05073166,Taliban,1,1,Violence ged
sigact,32,07-01-2010,32.41405106,64.4835434,ISAF,3,1,Violence ged
sigact,33,13-01-2008,31.83156013,65.79148102,Taliban,1,1,Violence ged
sigact,34,13-01-2008,31.60978889,64.3704834,Taliban,2,1,Violence ged
sigact,35,13-01-2008,31.59428024,65.16486359,Taliban,1,1,Violence ged
sigact,36,13-01-2008,32.64733124,65.45805359,ISAF,3,1,Violence ged
ged,21,13-01-2008,32.83333,66,Government of Afghanistan,1,4,Violence sig
sigact,37,14-01-2008,34.51882553,69.17649078,Taliban,2,1,Violence ged
sigact,38,15-01-2008,31.73099327,65.70407104,Taliban,2,1,Violence ged
sigact,39,16-01-2008,31.46899796,65.31455231,Taliban,2,1,Violence ged
sigact,40,17-01-2008,31.63488007,65.7286911,Taliban,1,1,Violence ged
sigact,41,18-01-2008,34.92195129,71.04695129,ISAF,3,1,Violence ged
ged,26,18-01-2008,34.998476,71.081975,Government of Afghanistan,1,3,Violence sig
ged,27,18-01-2008,33.214845,69.958707,Taleban,1,2,Violence sig
sigact,42,19-01-2008,31.5245266,65.43173981,Taliban,2,1,Violence ged
ged,29,19-01-2008,31.611795,65.705795,Government of Afghanistan,1,2,Violence sig
sigact,43,20-01-2008,31.71445084,61.62311935,Taliban,1,1,Violence ged
sigact,44,20-01-2008,31.9229393,64.79498291,Taliban,1,1,Violence ged
sigact,45,20-01-2008,31.85659027,64.68673706,Taliban,1,1,Violence ged
gtd,29,20-01-2008,32.191878,67.189449,Taliban,1,4,Violence gtd
sigact,46,21-01-2008,33.46326828,69.9965744,Taliban,2,1,Violence ged
sigact,47,21-01-2008,32.35142136,63.21691895,Taliban,1,1,Violence ged
sigact,48,21-01-2008,32.35496902,65.08822632,ISAF,3,1,Violence ged
sigact,49,22-01-2008,31.59988976,64.3682251,Taliban,2,1,Violence ged
sigact,50,22-01-2008,32.62015915,62.47409058,Taliban,1,1,Violence ged
ged,33,22-01-2008,32.178461,66.508063,Government of Afghanistan,1,3,Violence sig
sigact,51,23-01-2008,35.35720825,71.55317688,Taliban,1,1,Violence ged
sigact,52,23-01-2008,33.33996964,69.92162323,Taliban,2,1,Violence ged
sigact,53,23-01-2008,34.80994034,69.65596008,Taliban,1,1,Violence ged
sigact,54,23-01-2008,33.53155518,69.89444733,Taliban,2,1,Violence ged
gtd,33,23-01-2008,33.358508,69.859741,Unknown,3,4,Violence gtd
sigact,55,24-01-2008,32.17625046,64.80417633,Taliban,1,1,Violence ged
sigact,56,24-01-2008,31.70068741,64.75587463,Taliban,2,1,Violence ged
ged,35,24-01-2008,33.5555,68.3989,Government of Afghanistan,1,1,Violence sig
ged,36,24-01-2008,31.480806,64.875154,Taleban,1,5,Violence sig
sigact,57,25-01-2008,33.27193069,70.15972137,Taliban,2,1,Violence ged
sigact,58,25-01-2008,31.61879921,65.04527283,Taliban,1,1,Violence ged
sigact,59,25-01-2008,31.13150978,64.20413971,Taliban,1,1,Violence ged
sigact,60,26-01-2008,31.46698952,65.3110733,Taliban,2,1,Violence ged
sigact,61,26-01-2008,31.84667015,64.63076782,Taliban,1,1,Violence ged
sigact,62,26-01-2008,31.50623131,65.39864349,Taliban,2,1,Violence ged
sigact,63,26-01-2008,35.36993027,71.54355621,ISAF,3,1,Violence ged
ged,39,26-01-2008,32.627079,65.609744,Government of Afghanistan,1,2,Violence sig
ged,40,26-01-2008,32.6984,65.4749,Government of Afghanistan,1,1,Violence sig
gtd,34,26-01-2008,31.617667,65.675942,Unknown,6,1,Violence gtd
gtd,35,26-01-2008,32.323203,64.811084,Unknown,3,3,Violence gtd
